"name_format","comm_name","sci_name","c_avg","c_perc","c_format"
"Threadfin breams (Nemipterus)","Threadfin breams","Nemipterus",59591.595,41.8764540358569,"59591.6 / 41.9%"
"Cuttlefishes (Sepiida)","Cuttlefishes","Sepiida",28156.096,19.7859691450308,"28156.1 / 19.8%"
"Blue swimming crab (Portunus pelagicus)","Blue swimming crab","Portunus pelagicus",25285.698,17.7688710977036,"25285.7 / 17.8%"
"Common squids (Loligo)","Common squids","Loligo",17004.491,11.9494667958567,"17004.5 / 11.9%"
"Bigeye scad (Selar crumenophthalmus)","Bigeye scad","Selar crumenophthalmus",7778.461,5.46611253711543,"7778.5 / 5.5%"
"Monocle breams (Scolopsis)","Monocle breams","Scolopsis",3086.88333333333,2.16922752314963,"3086.9 / 2.2%"
"Largehead hairtail (Trichiurus lepturus)","Largehead hairtail","Trichiurus lepturus",1400.121,0.983898865286924,"1400.1 / 1%"
