"fishery","name","stockid","catch","er","family","resilience"
"USA GB groundfish fishery","Yellowtail flounder (Limanda ferruginea)","YELLGB","1462 / 5.1%","Yes","Pleuronectidae","Medium"
"USA GB/GOM groundfish fishery","Pollock (Pollachius virens)","POLL5YZ","8010 / 51.6%","Yes","Gadidae","Medium"
"USA GB/GOM groundfish fishery","Acadian redfish (Sebastes fasciatus)","ACADREDGOMGB","3456 / 22.3%","Yes","Sebastidae","Low"
"USA GB/GOM groundfish fishery","White hake (Urophycis tenuis)","WHAKEGBGOM","2476 / 16%","Yes","Phycidae","Low"
"USA GB/GOM groundfish fishery","American plaice (Hippoglossoides platessoides)","AMPL5YZ","1580 / 10.2%","---","Pleuronectidae","Low"
"USA GOM groundfish fishery","Atlantic cod (Gadus morhua)","CODGOM","4182 / 60.8%","---","Gadidae","Medium"
"USA GOM groundfish fishery","Haddock (Melanogrammus aeglefinus)","HAD5Y","851 / 12.4%","Yes","Gadidae","Medium"
"USA GOM groundfish fishery","Witch flounder (Glyptocephalus cynoglossus)","WITFLOUN5Y","849 / 12.4%","Yes","Pleuronectidae","Low"
"USA GOM groundfish fishery","Yellowtail flounder (Limanda ferruginea)","YELLCCODGOM","728 / 10.6%","Yes","Pleuronectidae","Medium"
"USA GOM groundfish fishery","Winter flounder (Pseudopleuronectes americanus)","WINFLOUND5Y","263 / 3.8%","---","Pleuronectidae","Medium"
"USA Mid-Atlantic MSB fishery","Northern shortfin squid (Illex illecebrosus)","ILLEXNWATLC","10250 / 73.9%","---","Ommastrephidae","High"
"USA Mid-Atlantic MSB fishery","Atlantic butterfish (Peprilus triacanthus)","BUTTERGOMCHATT","3622 / 26.1%","---","Stromateidae","High"
"USA West Coast DTS fishery","Dover sole (Microstomus pacificus)","DSOLEPCOAST","10610 / 54.1%","Yes","Pleuronectidae","Low"
"USA West Coast DTS fishery","Sablefish (Anoplopoma fimbria)","SABLEFPCOAST","6636 / 33.9%","Yes","Anoplopomatidae","Very low"
"USA West Coast DTS fishery","Shortspine thornyhead (Sebastolobus alascanus)","SSTHORNHPCOAST","1282 / 6.5%","Yes","Sebastidae","Very low"
"USA West Coast DTS fishery","Longspine thornyhead (Sebastolobus altivelis)","LSTHORNHPCOAST","1066 / 5.4%","Yes","Sebastidae","Low"
