"sim_id","stock_id","dyn","id","ed","maxf","nyr","effsd","iter","stock","true","cmsy","mscmsy","cmsy_diff","mscmsy_diff"
"deterministic-unfished-one-way-past_fmsy-0-8","deterministic-unfished-one-way-past_fmsy-0-8-billfish","deterministic","unfished","one-way","past_fmsy",50,0,8,"billfish",0.849598504254403,1.72167591234417,1.70839631517911,102.645826672575,101.082782823208
"deterministic-unfished-one-way-past_fmsy-0-8","deterministic-unfished-one-way-past_fmsy-0-8-shark","deterministic","unfished","one-way","past_fmsy",50,0,8,"shark",1.05379314467941,1.64472702876864,1.92694066394272,56.0768389007693,82.8575820284857
"deterministic-unfished-one-way-past_fmsy-0-9","deterministic-unfished-one-way-past_fmsy-0-9-tuna","deterministic","unfished","one-way","past_fmsy",50,0,9,"tuna",0.854267835573812,1.70663187201852,1.70090688878278,99.777142595118,99.1069800304815
"deterministic-unfished-one-way-past_fmsy-0-9","deterministic-unfished-one-way-past_fmsy-0-9-billfish","deterministic","unfished","one-way","past_fmsy",50,0,9,"billfish",0.849598504254403,1.72167591234417,1.70839631517911,102.645826672575,101.082782823208
"deterministic-unfished-one-way-past_fmsy-0-9","deterministic-unfished-one-way-past_fmsy-0-9-shark","deterministic","unfished","one-way","past_fmsy",50,0,9,"shark",1.05379314467941,1.64472702876864,1.92694066394272,56.0768389007693,82.8575820284857
"deterministic-unfished-one-way-past_fmsy-0-10","deterministic-unfished-one-way-past_fmsy-0-10-tuna","deterministic","unfished","one-way","past_fmsy",50,0,10,"tuna",0.854267835573812,1.70663187201852,1.70090688878278,99.777142595118,99.1069800304815
"deterministic-unfished-one-way-past_fmsy-0-10","deterministic-unfished-one-way-past_fmsy-0-10-billfish","deterministic","unfished","one-way","past_fmsy",50,0,10,"billfish",0.849598504254403,1.72167591234417,1.70839631517911,102.645826672575,101.082782823208
"deterministic-unfished-one-way-past_fmsy-0-10","deterministic-unfished-one-way-past_fmsy-0-10-shark","deterministic","unfished","one-way","past_fmsy",50,0,10,"shark",1.05379314467941,1.64472702876864,1.92694066394272,56.0768389007693,82.8575820284857
"deterministic-unfished-one-way-past_fmsy-0.1-1","deterministic-unfished-one-way-past_fmsy-0.1-1-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,1,"tuna",0.856482386959667,1.72230990892619,1.0907635108271,101.091106501329,27.3538752733824
"deterministic-unfished-one-way-past_fmsy-0.1-1","deterministic-unfished-one-way-past_fmsy-0.1-1-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,1,"billfish",0.941720840562476,1.22670759611983,1.04565275477485,30.2623392498284,11.0363825175941
"deterministic-unfished-one-way-past_fmsy-0.1-1","deterministic-unfished-one-way-past_fmsy-0.1-1-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,1,"shark",1.10194725806691,1.17721657130145,1.225331895963,6.83057312258073,11.1969640101042
"deterministic-unfished-one-way-past_fmsy-0.1-2","deterministic-unfished-one-way-past_fmsy-0.1-2-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,2,"tuna",0.871836801118951,1.72230990892619,1.0907635108271,97.5495765624609,25.1109736853471
"deterministic-unfished-one-way-past_fmsy-0.1-2","deterministic-unfished-one-way-past_fmsy-0.1-2-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,2,"billfish",1.05368651115603,1.22670759611983,1.04565275477485,16.4205466362073,-0.762442747070973
"deterministic-unfished-one-way-past_fmsy-0.1-2","deterministic-unfished-one-way-past_fmsy-0.1-2-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,2,"shark",1.03387421752751,1.17721657130145,1.225331895963,13.8645834612973,18.5184691899322
"deterministic-unfished-one-way-past_fmsy-0.1-3","deterministic-unfished-one-way-past_fmsy-0.1-3-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,3,"tuna",0.481354245925837,1.72230990892619,1.0907635108271,257.805072564281,126.603072489602
"deterministic-unfished-one-way-past_fmsy-0.1-3","deterministic-unfished-one-way-past_fmsy-0.1-3-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,3,"billfish",0.649166172997204,1.22670759611983,1.04565275477485,88.9666540165076,61.0762849744727
"deterministic-unfished-one-way-past_fmsy-0.1-3","deterministic-unfished-one-way-past_fmsy-0.1-3-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,3,"shark",1.02506515476714,1.17721657130145,1.225331895963,14.8430971267251,19.5369767730856
"deterministic-unfished-one-way-past_fmsy-0.1-4","deterministic-unfished-one-way-past_fmsy-0.1-4-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,4,"tuna",0.988148707611906,1.72230990892619,1.0907635108271,74.2966312316048,10.3845506678028
"deterministic-unfished-one-way-past_fmsy-0.1-4","deterministic-unfished-one-way-past_fmsy-0.1-4-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,4,"billfish",0.887775004231494,1.22670759611983,1.04565275477485,38.1777579085743,17.7835318398075
"deterministic-unfished-one-way-past_fmsy-0.1-4","deterministic-unfished-one-way-past_fmsy-0.1-4-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,4,"shark",1.14316560924721,1.17721657130145,1.225331895963,2.9786552166016,7.18761009350988
"deterministic-unfished-one-way-past_fmsy-0.1-5","deterministic-unfished-one-way-past_fmsy-0.1-5-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,5,"tuna",0.974622658982745,1.72230990892619,1.0907635108271,76.7155619718343,11.9164941194348
"deterministic-unfished-one-way-past_fmsy-0.1-5","deterministic-unfished-one-way-past_fmsy-0.1-5-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,5,"billfish",0.57701209610006,1.22670759611983,1.04565275477485,112.596513038629,81.218515494262
"deterministic-unfished-one-way-past_fmsy-0.1-5","deterministic-unfished-one-way-past_fmsy-0.1-5-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,5,"shark",1.0904865851309,1.17721657130145,1.225331895963,7.9533290324831,12.3656093225495
"deterministic-unfished-one-way-past_fmsy-0.1-6","deterministic-unfished-one-way-past_fmsy-0.1-6-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,6,"tuna",0.979944967663969,1.72230990892619,1.0907635108271,75.7557787180542,11.3086496507358
"deterministic-unfished-one-way-past_fmsy-0.1-6","deterministic-unfished-one-way-past_fmsy-0.1-6-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,6,"billfish",0.838708290513129,1.22670759611983,1.04565275477485,46.2615321674379,24.6741884636808
"deterministic-unfished-one-way-past_fmsy-0.1-6","deterministic-unfished-one-way-past_fmsy-0.1-6-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,6,"shark",1.03262336175144,1.17721657130145,1.225331895963,14.002511942473,18.6620350991
"deterministic-unfished-one-way-past_fmsy-0.1-7","deterministic-unfished-one-way-past_fmsy-0.1-7-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,7,"tuna",0.819257116897486,1.72230990892619,1.0907635108271,110.228251107363,33.1405597009406
"deterministic-unfished-one-way-past_fmsy-0.1-7","deterministic-unfished-one-way-past_fmsy-0.1-7-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,7,"billfish",0.983978347898686,1.22670759611983,1.04565275477485,24.6681493286411,6.26786219512612
"deterministic-unfished-one-way-past_fmsy-0.1-7","deterministic-unfished-one-way-past_fmsy-0.1-7-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,7,"shark",1.04856135849033,1.17721657130145,1.225331895963,12.2696885374788,16.8583875460731
"deterministic-unfished-one-way-past_fmsy-0.1-8","deterministic-unfished-one-way-past_fmsy-0.1-8-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,8,"tuna",0.643209506515843,1.72230990892619,1.0907635108271,167.768105334085,69.5813727529596
"deterministic-unfished-one-way-past_fmsy-0.1-8","deterministic-unfished-one-way-past_fmsy-0.1-8-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,8,"billfish",0.891984016517008,1.22670759611983,1.04565275477485,37.5257373904344,17.2277457232796
"deterministic-unfished-one-way-past_fmsy-0.1-8","deterministic-unfished-one-way-past_fmsy-0.1-8-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,8,"shark",1.05508955428089,1.17721657130145,1.225331895963,11.5750380169192,16.135345193341
"deterministic-unfished-one-way-past_fmsy-0.1-9","deterministic-unfished-one-way-past_fmsy-0.1-9-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,9,"tuna",1.03333663396812,1.72230990892619,1.0907635108271,66.6746200908735,5.55742194472024
"deterministic-unfished-one-way-past_fmsy-0.1-9","deterministic-unfished-one-way-past_fmsy-0.1-9-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,9,"billfish",0.841546713747213,1.22670759611983,1.04565275477485,45.7682118034284,24.253679289983
"deterministic-unfished-one-way-past_fmsy-0.1-9","deterministic-unfished-one-way-past_fmsy-0.1-9-shark","deterministic","unfished","one-way","past_fmsy",50,0.1,9,"shark",1.02438628615349,1.17721657130145,1.225331895963,14.9192045240887,19.6161948403315
"deterministic-unfished-one-way-past_fmsy-0.1-10","deterministic-unfished-one-way-past_fmsy-0.1-10-tuna","deterministic","unfished","one-way","past_fmsy",50,0.1,10,"tuna",0.808262236560454,1.72230990892619,1.0907635108271,113.088009190613,34.9516854169544
"deterministic-unfished-one-way-past_fmsy-0.1-10","deterministic-unfished-one-way-past_fmsy-0.1-10-billfish","deterministic","unfished","one-way","past_fmsy",50,0.1,10,"billfish",0.899919992855585,1.22670759611983,1.04565275477485,36.312961803115,16.1939686945765
